dist,median_rw,median_q0.25_rw,median_q0.75_rw,median_body,median_q0.25_body,median_q0.75_body
0.1,2.0163890150854407e-20,9.305859682504623e-21,6.034214833400844e-20,1.1541840134871663e-20,6.550581517892205e-21,3.591516454807797e-20
1.0040201005025127,2.0141256342369593e-20,9.295413926057672e-21,6.027441472962529e-20,1.1528884509803647e-20,6.543228540878708e-21,3.5874850060504936e-20
1.9080402010050252,1.5051478659347483e-20,6.946424445049493e-21,4.504282044396359e-20,8.615488322633556e-21,4.8897278349687e-21,2.6809129667519057e-20
2.812060301507538,9.96169988174902e-21,4.5974349188621455e-21,2.9811228790751616e-20,8.793729476093513e-21,4.224196209856039e-21,2.6502272533816703e-20
3.7160804020100504,4.871921354859774e-21,2.2484456692169636e-21,1.4579636116820212e-20,4.871921354859774e-21,2.2484456692169636e-21,1.4579636116820212e-20
4.620100502512562,1.54605715172237e-21,6.978256271007632e-22,4.739580376873893e-21,1.3706517545488859e-21,6.891940319564095e-22,4.1156949367324706e-21
5.524120603015075,4.257385263462842e-22,1.7514723066321005e-22,1.431017169654389e-21,2.9112838767262954e-22,1.685231458968382e-22,9.522331244243015e-22
6.428140703517588,3.1867640665903375e-22,1.3259758899479716e-22,1.0673892322083101e-21,3.1867640665903375e-22,1.3259758899479716e-22,1.0673892322083101e-21
7.3321608040201,2.2511987442925684e-22,1.062230548355798e-22,7.63130800037185e-22,2.1161426867156475e-22,9.523208508234653e-23,7.037613071112578e-22
8.236180904522612,1.851473213728057e-22,1.1472492792202387e-22,6.562812418118661e-22,1.3620181456339284e-22,8.928947219263342e-23,3.8552637979656467e-22
9.140201005025125,2.177814543647967e-22,1.3496866581578906e-22,7.719395230174842e-22,1.440560478356684e-22,1.342733804009315e-22,2.2426917027283006e-22
10.044221105527638,1.7837833696913994e-22,1.1077460863993782e-22,6.321522936250901e-22,1.1776378345428162e-22,1.0992592819612174e-22,2.172347986723808e-22
10.94824120603015,1.3262041828157893e-22,8.408838192542067e-23,4.69830685180901e-22,8.725032662826585e-23,8.169602391945756e-23,1.7695885211324046e-22
11.852261306532663,1.0938624329223008e-22,8.23044569576135e-23,3.5722758835137917e-22,5.695811293870515e-23,5.370254278016212e-23,2.208777286806884e-22
12.756281407035177,1.0896821356692402e-22,9.639988303548135e-23,4.269928271222273e-22,9.461114547236834e-23,8.813690736830929e-23,1.7984730978834484e-22
13.660301507537689,1.105432304238729e-22,1.0138703971535358e-22,4.672447898781471e-22,1.0998433226863685e-22,1.0117006062460189e-22,1.579209477343056e-22
14.564321608040201,9.540502220234455e-23,8.762636035524697e-23,4.1214873725361825e-22,9.540502220234455e-23,8.729589961279189e-23,1.3321176097882716e-22
15.468341708542713,7.598941837114095e-23,6.505564172939913e-23,3.1399882050134087e-22,7.069424228065891e-23,6.468860834332138e-23,1.0065725214595698e-22
16.372361809045227,7.000552099496382e-23,5.44293940785375e-23,2.5909879335377007e-22,6.087695339934672e-23,4.681717060276447e-23,8.689045239135429e-23
17.27638190954774,7.844671268458075e-23,6.55495298712433e-23,2.8508328634101696e-22,7.449720689923614e-23,5.111574410039632e-23,1.0152011410441138e-22
18.18040201005025,8.610459808069134e-23,7.961136252641152e-23,3.30111605919187e-22,8.610459808069134e-23,7.961136252641152e-23,1.16397949859656e-22
19.084422110552765,6.978676770087712e-23,6.464805312882161e-23,2.7657329860805687e-22,6.966760468046048e-23,6.461933309113382e-23,9.376953041817914e-23
19.98844221105528,5.287531511074291e-23,4.8085190528452075e-23,2.164418658180431e-22,5.148011474669813e-23,4.774892675385753e-23,6.928819433854017e-23
20.89246231155779,4.711142374526197e-23,4.278163833330943e-23,1.5631044253241607e-22,3.3292635498037e-23,3.087851935687156e-23,4.480686678424794e-23
21.796482412060303,5.753567942711488e-23,5.243618122041461e-23,1.6825222129809104e-22,5.256883319019646e-23,4.8924667551602306e-23,7.297954937019054e-23
22.700502512562817,6.121326624661379e-23,5.566690473053291e-23,1.7680995732476186e-22,5.89124449620908e-23,5.511332413966423e-23,8.046535449306232e-23
23.604522613065328,5.2837290038827664e-23,4.755643593683664e-23,1.5444276583853142e-22,5.0409761179630337e-23,4.725198312942979e-23,6.893513255105798e-23
24.50854271356784,4.0212750457123186e-23,3.5221840992215606e-23,1.1864223843382993e-22,3.714133855120828e-23,3.481518257526085e-23,5.1229308729970906e-23
25.412562814070355,3.6268127634832674e-23,2.784092468789532e-23,1.0749211470704137e-22,2.8545539839740606e-23,2.4784582179879888e-23,4.0190439516083124e-23
26.316582914572866,4.384072433523952e-23,2.9196223222235733e-23,1.3027086421897242e-22,2.7435588136000946e-23,2.165253997720244e-23,3.872143994731112e-23
27.22060301507538,4.9588204715677294e-23,3.2737822514229015e-23,1.4649153705402854e-22,2.792572078689271e-23,2.3812612221682056e-23,3.711973255388928e-23
28.12462311557789,4.045876985640281e-23,2.578564381373897e-23,1.1612533286650232e-22,2.2717170572300317e-23,1.9429984502860216e-23,3.066708854256736e-23
29.028643216080404,3.0877785328095397e-23,1.898147181946862e-23,8.642380476651936e-23,1.9836379203027554e-23,1.6566316682374763e-23,2.970684854237127e-23
29.932663316582918,2.8538370918136206e-23,1.646324791627255e-23,8.30092268486025e-23,1.558001840152996e-23,1.395965289975351e-23,2.537431540834424e-23
30.83668341708543,3.6379585541931034e-23,2.1547543285051082e-23,1.0614092823641077e-22,1.9177924184290355e-23,1.6750617071719057e-23,3.2931867575287644e-23
31.740703517587942,3.8471052745983316e-23,2.37779919694909e-23,1.1263680149442385e-22,2.01341304964869e-23,1.74849367858274e-23,3.407611236258682e-23
32.64472361809045,3.3077415474877155e-23,2.2396359929066808e-23,9.650479114031781e-23,1.696337104441959e-23,1.4726436325782736e-23,2.849800707987573e-23
33.548743718592966,2.558854234081699e-23,1.964269504686078e-23,7.347805518246382e-23,1.2423130693978762e-23,1.0784082475639251e-23,2.0869857732727635e-23
34.45276381909548,2.466558577270931e-23,1.8032187059259637e-23,7.029070053426033e-23,1.2643397802017806e-23,1.129808545853729e-23,1.7451674791786373e-23
35.356783919597994,3.081169425788663e-23,1.9390312113846263e-23,8.835997382492625e-23,1.667704875251e-23,1.502070713780238e-23,1.950656949129951e-23
36.2608040201005,3.399262003950952e-23,2.0956434900570722e-23,9.740479225358936e-23,1.7504534503243597e-23,1.5412465041379997e-23,2.1123243834166083e-23
37.164824120603015,2.7296600147600746e-23,1.6794152266801184e-23,7.708970916162938e-23,1.3911427585204222e-23,1.2227188013916796e-23,1.6784914108868072e-23
38.06884422110553,2.1950165738182037e-23,1.3379359482882872e-23,5.750816365708011e-23,1.018282570654607e-23,8.948894224437737e-24,1.2297144279333458e-23
38.97286432160804,2.024838849240131e-23,1.2222366826269513e-23,5.613477223480642e-23,6.774169724484393e-24,5.956182609764436e-24,8.342433886214538e-24
39.87688442211056,2.6145463563620805e-23,1.575813582513227e-23,7.261351786886469e-23,9.358653469902893e-24,7.969692375306391e-24,1.1893938391854245e-23
40.78090452261307,2.653551586777307e-23,1.6132562213297788e-23,7.524783003456791e-23,9.801903259777247e-24,8.31803259524987e-24,1.2440804978972202e-23
41.68492462311558,2.139029566357254e-23,1.324401930669879e-23,6.218947408460299e-23,8.140920458246526e-24,6.915011957873884e-24,1.0267095922036658e-23
42.58894472361809,1.6740848387630462e-23,1.066578207607393e-23,4.7402693366345885e-23,6.2943341942296564e-24,5.5959906558123694e-24,7.56640848976492e-24
43.492964824120605,1.7736458550025946e-23,1.0717150903398197e-23,4.8656145382719645e-23,6.44649538178e-24,5.964718467385023e-24,7.076999633858129e-24
44.39698492462312,2.2768202847587736e-23,1.3009602265942586e-23,6.198792352604563e-23,8.142060380478197e-24,7.512686929331121e-24,8.603223676645905e-24
45.30100502512563,2.4683606202093474e-23,1.4191831996376445e-23,6.616665544671441e-23,8.691136754196714e-24,7.99244880980228e-24,9.182521558721216e-24
46.20502512562814,2.00549913939721e-23,1.1874954260426051e-23,5.310164770661234e-23,6.831636213741289e-24,6.280951746065912e-24,7.214894011804216e-24
47.109045226130654,1.6511845758349638e-23,1.0304356184460786e-23,4.3540458723885753e-23,5.229230539084058e-24,4.8203493691919716e-24,5.558301707188016e-24
48.01306532663317,1.5038065442126005e-23,9.148918319395817e-24,4.221496835823012e-23,5.63765093164885e-24,5.313430556211058e-24,6.30959766489267e-24
48.91708542713568,1.9558053066166284e-23,1.1248594227220763e-23,5.233516620066414e-23,7.577089599022074e-24,7.016149102224714e-24,8.338733044200183e-24
49.821105527638196,2.0479228657866754e-23,1.1905090144054042e-23,5.362061708765811e-23,7.715972533636545e-24,7.183268335369049e-24,8.627448789234597e-24
50.72512562814071,1.7913984571375463e-23,1.0797501563420305e-23,4.799550807731028e-23,6.304956244771817e-24,5.878563003261717e-24,7.076368647322681e-24
51.629145728643216,1.4578266886599367e-23,9.290652028641266e-24,4.136822794620505e-23,5.286840395945184e-24,4.909532074023651e-24,5.742947813576969e-24
52.53316582914573,1.4424751412419957e-23,8.783273108895627e-24,3.9283714467608105e-23,5.700498116916019e-24,5.342510421100465e-24,6.015962386987544e-24
53.437185929648244,1.7383715016955178e-23,9.968826026107827e-24,4.3829424669004597e-23,6.858592106850551e-24,6.513248028915672e-24,7.383706019383694e-24
54.34120603015076,1.870644572653704e-23,1.0864195700503864e-23,4.5861843535131586e-23,6.984196840551203e-24,6.668030481101183e-24,7.71147042427175e-24
55.24522613065327,1.574672539511268e-23,9.523564401107433e-24,3.805789698099455e-23,5.458673043107425e-24,5.2116600647047474e-24,6.0274664597942736e-24
56.14924623115578,1.3019875711759372e-23,8.182931759718382e-24,3.280888567790796e-23,4.257609173813772e-24,4.0515018492734e-24,4.717431954282763e-24
57.05326633165829,1.1766532900404008e-23,7.024266196763373e-24,3.160714464037701e-23,4.7540960313657955e-24,4.446702105664325e-24,5.3618999014141314e-24
57.95728643216081,1.5237960716870432e-23,8.771920880542486e-24,3.627668604701301e-23,6.155879200066172e-24,5.757742038614138e-24,7.016598932479135e-24
58.86130653266332,1.5433493639997167e-23,8.921255743070353e-24,3.5481615778442234e-23,6.181447684506787e-24,5.7674753884205326e-24,7.070571555056637e-24
59.765326633165834,1.2914158437479331e-23,7.918328614489177e-24,3.151682739567808e-23,4.985064655600529e-24,4.649195773510736e-24,5.7051045690321204e-24
60.66934673366834,1.0461731548922603e-23,6.835641139519655e-24,2.774011753814726e-23,3.980993762514495e-24,3.607785635214493e-24,4.5132151352573735e-24
61.573366834170855,1.0985385053917044e-23,6.703983628168918e-24,2.796302534882075e-23,4.499416660726019e-24,4.004613036738487e-24,5.070769521802135e-24
62.47738693467337,1.3525746256720796e-23,7.769473879297811e-24,3.1737561343585624e-23,5.775613492716852e-24,5.141538128106878e-24,6.508979352273691e-24
63.38140703517588,1.386429526043076e-23,8.010987954783145e-24,3.216755938358969e-23,5.938277711635322e-24,5.286517825663937e-24,6.692370261154618e-24
64.28542713567839,1.0776039088792596e-23,6.459501006570379e-24,2.667470658946179e-23,4.622999689138236e-24,4.114932742580583e-24,5.210296038911455e-24
65.1894472361809,8.604040914458156e-24,5.4570110070971255e-24,2.2803945700908596e-23,3.6532155777588406e-24,3.2797362050817663e-24,4.129244536383906e-24
66.09346733668342,9.382760615557864e-24,5.413039176562218e-24,2.265969926505683e-23,4.074457462407865e-24,3.7818011467879256e-24,4.65605917257651e-24
66.99748743718592,1.2100242083969765e-23,6.98059673907965e-24,2.738096793027052e-23,5.257632884910762e-24,4.877399068305024e-24,6.0089398741921875e-24
67.90150753768843,1.1591022569539423e-23,6.5706483217460304e-24,2.66295103897289e-23,5.1759368614962534e-24,4.8010839996523625e-24,5.91587029128695e-24
68.80552763819095,9.068127695730482e-24,5.148553026825616e-24,2.3595581752597418e-23,4.114505638705562e-24,3.8170363528842225e-24,4.7028053305399976e-24
69.70954773869346,7.263308487567789e-24,4.295032928578123e-24,2.0071472665231544e-23,3.0977604455076e-24,2.8404158399369582e-24,3.66057832705822e-24
70.61356783919598,8.40485459340076e-24,4.906198298745071e-24,2.0436816080268752e-23,3.463713631517608e-24,3.1566014657159612e-24,4.286385248798978e-24
71.51758793969849,1.0674742045470947e-23,6.1316325944493674e-24,2.4210017624200528e-23,4.409263202878084e-24,4.0225759440530195e-24,5.499832333808048e-24
72.421608040201,1.0471350706844089e-23,5.929860175353801e-24,2.4661284061620002e-23,4.428502034501555e-24,4.042557671979118e-24,5.5060672627949236e-24
73.32562814070351,7.806203954935712e-24,4.5812273104999256e-24,2.02029362432593e-23,3.433682569525836e-24,3.134595937207469e-24,4.269472865469616e-24
74.22964824120602,6.408664588137789e-24,4.2263585134758956e-24,1.6972882583636284e-23,2.7232489011630347e-24,2.437767833903793e-24,3.468709566705212e-24
75.13366834170854,7.610322360144907e-24,4.3938501810414365e-24,1.7096376002542505e-23,2.95878502482732e-24,2.4725191111694825e-24,4.043665285036425e-24
76.03768844221105,9.668015007230707e-24,5.577157264940426e-24,2.1746246978303e-23,3.793474706966711e-24,3.118600258099712e-24,5.118932027851438e-24
76.94170854271357,9.258808787676004e-24,5.2735832897748265e-24,2.1553220878266997e-23,3.714588668799901e-24,3.0359372623336404e-24,4.992413121283443e-24
77.84572864321608,7.306594783655649e-24,4.3949890297653025e-24,1.809024036339937e-23,2.9144082816187074e-24,2.380883133224565e-24,3.911476680095703e-24
78.74974874371858,6.085259632906638e-24,3.8694398030860444e-24,1.5221326741795238e-23,2.536463953737214e-24,2.092404376973148e-24,3.304844164607927e-24
79.6537688442211,7.695650836377397e-24,4.722236224012372e-24,1.8349734422906566e-23,3.1849689675082603e-24,3.022923369342534e-24,4.012330764579397e-24
80.55778894472361,7.56351620631585e-24,4.659528914646692e-24,1.8021757321603123e-23,3.1183085226224773e-24,2.9783959454189998e-24,3.945362973094182e-24
81.46180904522613,7.436728158243012e-24,4.599915185105283e-24,1.7708945733444823e-23,3.053043430447688e-24,2.9354574275052784e-24,3.879513413445288e-24
82.36582914572864,7.315070352665239e-24,4.543242417834853e-24,1.7410598411948177e-23,2.9891444831202005e-24,2.894051117457048e-24,3.814763413336501e-24
83.26984924623115,7.198335203864006e-24,4.4893655244615324e-24,1.7126046535950605e-23,2.926583084162454e-24,2.8541223403330845e-24,3.751094612262619e-24
84.17386934673367,7.08632352569072e-24,4.438146574349055e-24,1.6854652210278238e-23,2.8653312356853404e-24,2.8156183721997726e-24,3.688488956303164e-24
85.07788944723617,6.978844191693736e-24,4.3894544414815094e-24,1.6595807035742175e-23,2.805361525858404e-24,2.778488370511809e-24,3.626928693003003e-24
85.9819095477387,6.875713808997704e-24,4.34316446876664e-24,1.634893074525742e-23,2.746647116642317e-24,2.742683306977188e-24,3.566396366338469e-24
86.8859296482412,6.776756405378808e-24,4.2991581489003045e-24,1.6113469903027102e-23,2.689161731778146e-24,2.7081559028178258e-24,3.506874811767532e-24
87.78994974874371,6.681803129001896e-24,4.2573228209750396e-24,1.588889666387584e-23,2.6328796450280272e-24,2.67486056634031e-24,3.448347151362621e-24
88.69396984924623,6.590691960307196e-24,4.217551382056024e-24,1.5674707589950932e-23,2.5777756686619863e-24,2.6427533327343803e-24,3.390796789024716e-24
89.59798994974874,6.50326743555502e-24,4.17974201298607e-24,1.5470422522138787e-23,2.5238251421857674e-24,2.611791806019615e-24,3.334207405777372e-24
